INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT																																																																																																							
3021	±‰“ÏŒ⁄πÍ	302	5	9	1	0	1000	10	690	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	954	1379	848	848	954	540	594	621	702	810	800	150	20	20	10	60000	3020	1	3020																																																																																																					
3029	Œ⁄πÍ±¶±¶	302	5	9	0	1	1000	10	690	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	734	1060	652	652	734	540	594	621	702	810	800	150	20	20	10	60000	3020	0	3020																																																																																																					
3030	≥…ƒÍπ∑	303	5	9	0	0	1000	10	684	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	1114	942	599	771	599	642	706	738	834	963	10	20	800	20	150	60000	3030	9	3030																																																																																																					
3031	±‰“Ïπ∑	303	5	9	1	0	1000	10	684	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	1448	1225	779	1002	779	642	706	738	834	963	10	20	800	20	150	60000	3030	1	3030																																																																																																					
3039	π∑±¶±¶	303	5	9	0	1	1000	10	684	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	1114	942	599	771	599	642	706	738	834	963	10	20	800	20	150	60000	3030	0	3030																																																																																																					
3040	≥…ƒÍ¥Ã‚¨	304	5	9	0	0	10	10	737	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	857	857	857	857	857	642	706	738	834	963	150	800	20	20	10	60000	3040	9	3040																																																																																																					
3041	±‰“Ï¥Ã‚¨	304	5	9	1	0	10	10	737	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	1114	1114	1114	1114	1114	642	706	738	834	963	150	800	20	20	10	60000	3040	1	3040																																																																																																					
3049	¥Ã‚¨±¶±¶	304	5	9	0	1	10	10	737	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	857	857	857	857	857	642	706	738	834	963	150	800	20	20	10	60000	3040	0	3040																																																																																																					
3050	≥…ƒÍ∫Ô◊”	305	5	9	0	0	1	10	739	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	857	771	685	1114	599	642	706	738	834	963	20	50	20	900	10	60000	3050	9	3050																																																																																																					
3051	±‰“Ï∫Ô◊”	305	5	9	1	0	1	10	739	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	1114	1002	891	1448	779	642	706	738	834	963	20	50	20	900	10	60000	3050	1	3050																																																																																																					
3059	∫Ô◊”±¶±¶	305	5	9	0	1	1	10	739	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	857	771	685	1114	599	642	706	738	834	963	20	50	20	900	10	60000	3050	0	3050																																																																																																					
3060	≥…ƒÍÀ… Û	306	5	9	0	0	1	10	741	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	627	717	1166	717	986	744	818	855	967	1116	800	150	20	20	10	60000	3060	9	3060																																																																																																					
3061	±‰“ÏÀ… Û	306	5	9	1	0	1	10	741	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	722	825	1341	825	1134	744	818	855	967	1116	800	150	20	20	10	60000	3060	1	3060																																																																																																					
3062	±‰“ÏÀ… Û	306	5	9	1	0	1	10	741	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	816	932	1515	932	1282	744	818	855	967	1116	800	150	20	20	10	60000	3060	2	3060																																																																																																					
3069	À… Û±¶±¶	306	5	9	0	1	1	10	741	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	627	717	1166	717	986	744	818	855	967	1116	800	150	20	20	10	60000	3060	0	3060																																																																																																					
3070	≥…ƒÍ‰Ω–‹	307	5	9	0	0	1000	10	738	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	897	897	897	897	897	744	818	855	967	1116	150	800	20	20	10	60000	3070	9	3070																																																																																																					
3071	±‰“Ï‰Ω–‹	307	5	9	1	0	1000	10	738	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	1031	1031	1031	1031	1031	744	818	855	967	1116	10	20	20	150	800	60000	3070	1	3070																																																																																																					
3072	±‰“Ï‰Ω–‹	307	5	9	1	0	1000	10	738	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	1166	1166	1166	1166	1166	744	818	855	967	1116	10	20	20	150	800	60000	3070	2	3070																																																																																																					
3079	‰Ω–‹±¶±¶	307	5	9	0	1	1000	10	738	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	897	897	897	897	897	744	818	855	967	1116	10	20	20	150	800	60000	3070	0	3070																																																																																																					
3080	≥…ƒÍ–ƒ	308	5	9	0	0	1	10	740	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	627	717	1166	717	986	744	818	855	967	1116	20	50	20	900	10	60000	3080	9	3080																																																																																																					
3081	±‰“Ï–ƒ	308	5	9	1	0	1	10	740	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	722	825	1341	825	1134	744	818	855	967	1116	20	50	20	900	10	60000	3080	1	3080																																																																																																					
3082	±‰“Ï–ƒ	308	5	9	1	0	1	10	740	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	816	932	1515	932	1282	744	818	855	967	1116	20	50	20	900	10	60000	3080	2	3080																																																																																																					
3089	–ƒ±¶±¶	308	5	9	0	1	1	10	740	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	627	717	1166	717	986	744	818	855	967	1116	20	50	20	900	10	60000	3080	0	3080																																																																																																					
3090	≥…ƒÍÚ·ÚÊ	309	5	9	0	0	10	10	698	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	938	938	938	938	938	846	930	972	1099	1269	150	800	20	20	10	60000	3090	9	3090																																																																																																					
3091	±‰“ÏÚ·ÚÊ	309	5	9	1	0	10	10	698	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1078	1078	1078	1078	1078	846	930	972	1099	1269	150	800	20	20	10	60000	3090	1	3090																																																																																																					
3092	±‰“ÏÚ·ÚÊ	309	5	9	1	0	10	10	698	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1219	1219	1219	1219	1219	846	930	972	1099	1269	150	800	20	20	10	60000	3090	2	3090																																																																																																					
3099	Ú·ÚÊ±¶±¶	309	5	9	0	1	10	10	698	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	938	938	938	938	938	846	930	972	1099	1269	150	800	20	20	10	60000	3090	0	3090																																																																																																					
3100	≥…ƒÍÚ˘Ú	310	5	9	0	0	10	10	700	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	938	938	938	938	938	846	930	972	1099	1269	10	20	20	150	800	60000	3100	9	3100																																																																																																					
3101	±‰“ÏÚ˘Ú	310	5	9	1	0	10	10	700	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1078	1078	1078	1078	1078	846	930	972	1099	1269	10	20	20	150	800	60000	3100	1	3100																																																																																																					
3102	±‰“ÏÚ˘Ú	310	5	9	1	0	10	10	700	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1219	1219	1219	1219	1219	846	930	972	1099	1269	10	20	20	150	800	60000	3100	2	3100																																																																																																					
3109	Ú˘Ú±¶±¶	310	5	9	0	1	10	10	700	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	938	938	938	938	938	846	930	972	1099	1269	10	20	20	150	800	60000	3100	0	3100																																																																																																					
3110	≥…ƒÍ¥ÛÛ´ÚÎ	311	5	9	0	0	10	10	684	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1219	1031	656	844	656	846	930	972	1099	1269	20	300	150	500	30	60000	3110	9	3110																																																																																																					
3111	±‰“Ï¥ÛÛ´ÚÎ	311	5	9	1	0	10	10	684	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1402	1186	755	970	755	846	930	972	1099	1269	20	300	150	500	30	60000	3110	1	3110																																																																																																					
3112	±‰“Ï¥ÛÛ´ÚÎ	311	5	9	1	0	10	10	684	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1585	1341	853	1097	853	846	930	972	1099	1269	20	300	150	500	30	60000	3110	2	3110																																																																																																					
3119	¥ÛÛ´ÚÎ±¶±¶	311	5	9	0	1	10	10	684	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1219	1031	656	844	656	846	930	972	1099	1269	20	300	150	500	30	60000	3110	0	3110																																																																																																					
3120	≥…ƒÍˆ˘”„	312	5	9	0	0	1000	10	690	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	844	1219	750	750	844	846	930	972	1099	1269	300	500	150	30	20	60000	3120	9	3120																																																																																																					
3121	±‰“Ïˆ˘”„	312	5	9	1	0	1000	10	690	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	970	1402	862	862	970	846	930	972	1099	1269	300	500	150	30	20	60000	3120	1	3120																																																																																																					
3122	±‰“Ïˆ˘”„	312	5	9	1	0	1000	10	690	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1097	1585	975	975	1097	846	930	972	1099	1269	300	500	150	30	20	60000	3120	2	3120																																																																																																					
3129	ˆ˘”„±¶±¶	312	5	9	0	1	1000	10	690	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	844	1219	750	750	844	846	930	972	1099	1269	300	500	150	30	20	60000	3120	0	3120																																																																																																					
3130	≥…ƒÍ√®Õ∑”•	313	45	9	0	0	1000	10	738	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	979	881	783	1272	685	948	1042	1090	1232	1422	150	800	20	20	10	60000	3130	9	3130																																																																																																					
3131	±‰“Ï√®Õ∑”•	313	45	9	1	0	1000	10	738	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1076	969	861	1399	753	948	1042	1090	1232	1422	150	800	20	20	10	60000	3130	1	3130																																																																																																					
3132	±‰“Ï√®Õ∑”•	313	45	9	1	0	1000	10	738	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1174	1057	939	1527	822	948	1042	1090	1232	1422	150	800	20	20	10	60000	3130	2	3130																																																																																																					
3133	±‰“Ï√®Õ∑”•	313	45	9	1	0	1000	10	738	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1272	1145	1018	1654	890	948	1042	1090	1232	1422	150	800	20	20	10	60000	3130	3	3130																																																																																																					
3139	√®Õ∑”•±¶±¶	313	45	9	0	1	1000	10	738	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	979	881	783	1272	685	948	1042	1090	1232	1422	150	800	20	20	10	60000	3130	0	3130																																																																																																					
3140	≥…ƒÍ‚µ	314	45	9	0	0	1000	10	736	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1272	1076	685	881	685	948	1042	1090	1232	1422	30	50	100	700	120	60000	3140	9	3140																																																																																																					
3141	±‰“Ï‚µ	314	45	9	1	0	1000	10	736	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1399	1184	753	969	753	948	1042	1090	1232	1422	30	50	100	700	120	60000	3140	1	3140																																																																																																					
3142	±‰“Ï‚µ	314	45	9	1	0	1000	10	736	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1527	1292	822	1057	822	948	1042	1090	1232	1422	30	50	100	700	120	60000	3140	2	3140																																																																																																					
3143	±‰“Ï‚µ	314	45	9	1	0	1000	10	736	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1654	1399	890	1145	890	948	1042	1090	1232	1422	30	50	100	700	120	60000	3140	3	3140																																																																																																					
3149	‚µ±¶±¶	314	45	9	0	1	1000	10	736	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1272	1076	685	881	685	948	1042	1090	1232	1422	30	50	100	700	120	60000	3140	0	3140																																																																																																					
3150	≥…ƒÍ¿œª¢	315	45	9	0	0	1000	10	694	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1272	1076	685	881	685	948	1042	1090	1232	1422	20	30	150	300	500	60000	3150	9	3150																																																																																																					
3151	±‰“Ï¿œª¢	315	45	9	1	0	1000	10	694	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1399	1184	753	969	753	948	1042	1090	1232	1422	20	30	150	300	500	60000	3150	1	3150																																																																																																					
3152	±‰“Ï¿œª¢	315	45	9	1	0	1000	10	694	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1527	1292	822	1057	822	948	1042	1090	1232	1422	20	30	150	300	500	60000	3150	2	3150																																																																																																					
3153	±‰“Ï¿œª¢	315	45	9	1	0	1000	10	694	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1654	1399	890	1145	890	948	1042	1090	1232	1422	20	30	150	300	500	60000	3150	3	3150																																																																																																					
3159	¿œª¢±¶±¶	315	45	9	0	1	1000	10	694	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1272	1076	685	881	685	948	1042	1090	1232	1422	20	30	150	300	500	60000	3150	0	3150																																																																																																					
3160	≥…ƒÍ“∞÷Ì	316	45	9	0	0	1	10	684	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1272	1076	685	881	685	948	1042	1090	1232	1422	10	20	20	150	800	60000	3160	9	3160																																																																																																					
3161	±‰“Ï“∞÷Ì	316	45	9	1	0	1	10	684	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1399	1184	753	969	753	948	1042	1090	1232	1422	10	20	20	150	800	60000	3160	1	3160																																																																																																					
3162	±‰“Ï“∞÷Ì	316	45	9	1	0	1	10	684	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1527	1292	822	1057	822	948	1042	1090	1232	1422	10	20	20	150	800	60000	3160	2	3160																																																																																																					
3163	±‰“Ï“∞÷Ì	316	45	9	1	0	1	10	684	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1654	1399	890	1145	890	948	1042	1090	1232	1422	10	20	20	150	800	60000	3160	3	3160																																																																																																					
3169	“∞÷Ì±¶±¶	316	45	9	0	1	1	10	684	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1272	1076	685	881	685	948	1042	1090	1232	1422	10	20	20	150	800	60000	3160	0	3160																																																																																																					
3170	≥…ƒÍ±˘≤œ	317	55	9	0	0	10	10	737	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	714	816	1326	816	1122	1051	1156	1208	1366	1576	800	150	20	20	10	60000	3170	9	3170																																																																																																					
3171	±‰“Ï±˘≤œ	317	55	9	1	0	10	10	737	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	767	877	1425	877	1206	1051	1156	1208	1366	1576	800	150	20	20	10	60000	3170	1	3170																																																																																																					
3172	±‰“Ï±˘≤œ	317	55	9	1	0	10	10	737	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	821	938	1524	938	1290	1051	1156	1208	1366	1576	800	150	20	20	10	60000	3170	2	3170																																																																																																					
3173	±‰“Ï±˘≤œ	317	55	9	1	0	10	10	737	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	874	999	1624	999	1374	1051	1156	1208	1366	1576	800	150	20	20	10	60000	3170	3	3170																																																																																																					
3174	±‰“Ï±˘≤œ	317	55	9	1	0	10	10	737	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	928	1060	1723	1060	1458	1051	1156	1208	1366	1576	800	150	20	20	10	60000	3170	4	3170																																																																																																					
3179	±˘≤œ±¶±¶	317	55	9	0	1	10	10	737	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	714	816	1326	816	1122	1051	1156	1208	1366	1576	800	150	20	20	10	60000	3170	0	3170																																																																																																					
3180	≥…ƒÍ”•	318	55	9	0	0	1000	10	738	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1020	918	816	1326	714	1051	1156	1208	1366	1576	10	20	20	150	800	60000	3180	9	3180																																																																																																					
3181	±‰“Ï”•	318	55	9	1	0	1000	10	738	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1096	986	877	1425	767	1051	1156	1208	1366	1576	10	20	20	150	800	60000	3180	1	3180																																																																																																					
3182	±‰“Ï”•	318	55	9	1	0	1000	10	738	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1173	1055	938	1524	821	1051	1156	1208	1366	1576	10	20	20	150	800	60000	3180	2	3180																																																																																																					
3183	±‰“Ï”•	318	55	9	1	0	1000	10	738	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1249	1124	999	1624	874	1051	1156	1208	1366	1576	10	20	20	150	800	60000	3180	3	3180																																																																																																					
3184	±‰“Ï”•	318	55	9	1	0	1000	10	738	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1326	1193	1060	1723	928	1051	1156	1208	1366	1576	10	20	20	150	800	60000	3180	4	3180																																																																																																					
